Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,33,27,6,0.818,-1.3,-8.13,14,4,13,2,10,4,2458,2082,67.3,93,0.371,0.336,0.526,49.1,47.4,8.3,7.5,0.486,21.7,26.7,0.267
2,Air Force,32,14,18,0.438,-3.94,0.58,8,10,9,6,3,9,2179,2294,67.4,104.7,0.286,0.462,0.555,49.9,54,10.5,8.2,0.534,15.7,23.8,0.194
3,Akron,33,17,16,0.515,5.2,1.42,8,10,14,3,1,10,2271,2107,68.5,92.9,0.297,0.382,0.481,51.8,45.1,8.2,8.7,0.452,16.6,29.3,0.194
4,Alabama A&M,32,5,27,0.156,-19.28,-8.44,4,14,4,7,0,18,1938,2285,67.5,104.6,0.388,0.384,0.558,53,53.4,11.3,8.9,0.537,18.3,31.9,0.247
5,Alabama-Birmingham,34,20,14,0.588,0.85,-1.25,10,8,11,5,6,5,2392,2287,66.4,100.6,0.312,0.44,0.523,47.4,54.1,7.6,8.3,0.487,15.8,25.8,0.228
6,Alabama State,31,12,19,0.387,-15.69,-7.93,9,9,8,3,3,13,2086,2235,69.6,102.8,0.361,0.368,0.551,51.1,54.1,10.3,9.5,0.518,18.8,30.8,0.255
7,Alabama,33,18,15,0.545,10.27,9.79,8,10,10,5,4,8,2369,2353,69.9,102.1,0.302,0.326,0.523,47.8,43.5,9.1,12,0.491,14.8,27.4,0.214
8,Albany (NY),32,12,20,0.375,-9.21,-6.53,7,9,6,8,6,10,2150,2216,66.7,102.3,0.296,0.391,0.54,50.2,57.1,9.5,12.3,0.519,16.5,27.6,0.194
9,Alcorn State,31,10,21,0.323,-22.15,-9.04,6,12,10,3,0,17,1995,2194,68.8,102.5,0.355,0.377,0.538,50.1,62.5,11.4,7.7,0.507,16.9,29.1,0.244
10,American,30,15,15,0.5,-4.02,-7.05,9,9,8,7,6,8,2161,2070,67.7,100.3,0.348,0.304,0.52,49.6,50.2,9.3,9.2,0.482,15.5,27.4,0.248
11,Appalachian State,32,11,21,0.344,-3.59,0.24,6,12,9,5,2,12,2557,2539,73.7,106.8,0.336,0.336,0.559,51.4,45.6,9.5,8.9,0.529,15.8,28.7,0.237
12,Arizona State,32,22,10,0.688,10.46,5.71,12,6,13,3,6,5,2490,2338,72.1,99.7,0.386,0.435,0.526,46.9,54.8,8.7,9.1,0.486,16.7,26.4,0.274
13,Arizona,32,17,15,0.531,8.36,6.36,8,10,12,5,4,7,2269,2205,68.6,99.7,0.35,0.369,0.539,49.5,47.8,7.8,10.6,0.509,18,25.8,0.238
14,Little Rock,31,10,21,0.323,-4.64,-1.85,5,13,7,9,3,12,2301,2353,72.7,103.5,0.385,0.438,0.553,50.2,54.7,7.7,7.1,0.518,17.1,26.9,0.273
15,Arkansas-Pine Bluff,32,13,19,0.406,-14.51,-8.25,10,8,8,2,4,17,2108,2269,67.3,103.7,0.441,0.33,0.548,50.6,55.1,11,9.5,0.513,17.6,29.9,0.298
16,Arkansas State,32,13,19,0.406,-6.83,-0.97,7,11,10,4,2,13,2359,2475,70.2,107.7,0.426,0.368,0.553,48.5,50.9,8.4,9.5,0.506,15.1,29.1,0.316
17,Arkansas,33,18,15,0.545,12.14,8.99,8,10,12,6,4,7,2499,2395,71.8,100.3,0.416,0.42,0.533,53.2,53.8,8.6,8.9,0.494,19.4,35,0.287
18,Army,32,13,19,0.406,-7.35,-4.51,8,10,10,4,3,13,2268,2305,71.7,100.5,0.281,0.407,0.549,51.1,52.7,9.3,12.4,0.527,17.2,22.1,0.191
19,Auburn,35,26,9,0.743,20.36,10.07,11,7,15,2,4,6,2785,2384,69.3,97.6,0.362,0.442,0.545,50.2,51.9,8.3,11.5,0.511,22,32,0.256
20,Austin Peay,33,22,11,0.667,0.63,-4.37,13,5,10,2,8,7,2712,2413,71.9,100.6,0.337,0.377,0.543,48.3,51.9,7.8,7.9,0.514,19,29.1,0.234
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
21,Ball State,33,16,17,0.485,3.72,1.54,6,12,7,7,8,7,2478,2362,71.7,98.3,0.299,0.349,0.504,48.5,45.4,9.3,8.6,0.47,15.4,28.1,0.21
22,Baylor,32,19,13,0.594,12.84,8.37,10,8,13,5,5,6,2293,2150,66.6,100.5,0.365,0.377,0.52,45.5,55.3,8.9,12.2,0.486,16.1,28.7,0.248
23,Belmont,32,27,5,0.844,8.98,-3.19,16,2,13,1,12,3,2791,2360,74.4,98.4,0.269,0.353,0.513,47.6,45.1,8.2,9.9,0.484,14.7,23.8,0.188
24,Bethune-Cookman,31,14,17,0.452,-11.84,-9.6,9,7,11,4,3,12,2290,2245,74.3,96.7,0.361,0.357,0.504,47.9,55.9,9.5,10,0.467,17.6,30.2,0.246
25,Binghamton,33,10,23,0.303,-13.72,-4.49,5,11,5,11,5,12,2152,2376,67.3,107,0.246,0.39,0.538,54.4,61.6,10.2,9,0.519,14.7,31.1,0.163
26,Boise State,33,13,20,0.394,3.86,1.33,7,11,8,7,3,10,2364,2263,66.5,102.4,0.328,0.404,0.554,50.2,51.9,7.3,8.3,0.519,16.8,24.2,0.243
27,Boston College,31,14,17,0.452,6.47,8.41,5,13,10,8,2,8,2196,2256,68.4,104.7,0.294,0.405,0.521,51.3,54.2,8.4,8.6,0.484,14.2,31.5,0.219
28,Boston University,33,15,18,0.455,-6.42,-5.2,7,11,7,7,8,10,2385,2387,68.1,105.9,0.318,0.397,0.569,48.5,52.4,8.8,8.3,0.539,16.4,24.7,0.232
29,Bowling Green State,34,22,12,0.647,4.53,1.15,12,6,14,2,5,8,2668,2496,72.8,100,0.301,0.435,0.529,46.5,47,8.9,7.2,0.5,15.8,23.8,0.209
30,Bradley,34,20,14,0.588,-0.29,-1.47,9,9,10,6,5,8,2264,2209,66.1,97.9,0.347,0.399,0.516,49.1,53.7,8.6,7.1,0.477,16.5,26.2,0.248
31,Brigham Young,32,19,13,0.594,6.39,3.54,11,5,13,3,5,8,2527,2436,71.9,104.6,0.354,0.366,0.545,51,51.1,7.9,7,0.507,15.5,26.8,0.26
32,Brown,30,19,11,0.633,-0.17,-3.49,7,7,12,3,7,8,2209,2045,72.7,93,0.304,0.415,0.506,49.7,50.1,9,9.2,0.476,18.7,25.2,0.207
33,Bryant,30,10,20,0.333,-14.88,-7.34,7,11,8,6,2,13,2088,2314,69.2,111.5,0.354,0.381,0.581,52.7,54.8,8.5,11.8,0.549,16.2,30.3,0.261
34,Bucknell,33,21,12,0.636,0.75,-2.77,13,5,12,3,7,8,2534,2418,71.4,102.3,0.324,0.346,0.525,50.2,49.8,9.5,9.2,0.492,14.6,27.4,0.228
35,Buffalo,34,31,3,0.912,15.99,2.17,16,2,14,0,12,3,2888,2398,74.7,94,0.311,0.365,0.506,47.5,40.4,6.9,8.3,0.473,18.2,26.2,0.215
36,Butler,32,16,16,0.5,9.77,8.49,7,11,12,4,2,9,2298,2257,67.2,104.2,0.359,0.397,0.557,51.5,49,7.8,10.8,0.527,17,27.1,0.25
37,Cal Poly,29,6,23,0.207,-13.72,-3.31,2,14,4,8,1,14,1930,2183,66.8,110.3,0.374,0.332,0.555,53.2,54.2,7.8,9.9,0.522,13.8,30.6,0.263
38,Cal State Bakersfield,31,16,15,0.516,-4.69,-2.08,7,9,9,4,5,9,2211,2207,67.5,104.3,0.513,0.415,0.566,46.5,56.5,7.7,6.5,0.516,18.2,28.2,0.375
39,Cal State Fullerton,33,16,17,0.485,-2.77,-0.81,10,6,9,3,4,11,2379,2348,70.4,99.2,0.341,0.338,0.515,49.6,48.8,7.7,6.6,0.483,15,25.3,0.232
40,Cal State Northridge,34,13,21,0.382,-6.33,-3.18,7,9,7,9,4,10,2601,2701,72.1,109,0.322,0.358,0.55,52.1,52.2,8.2,7.3,0.516,14.7,31.9,0.238
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,California Baptist,30,16,14,0.533,-3.8,-4.07,7,9,8,6,8,6,2348,2185,70.3,101.9,0.379,0.341,0.524,48,44.3,7.8,7.2,0.484,14.3,25.8,0.269
42,UC-Davis,31,11,20,0.355,-6,-1.24,7,9,7,6,3,12,2038,2128,67,100.8,0.38,0.377,0.551,53.5,52.1,9.4,9.4,0.52,19,27.7,0.261
43,UC-Irvine,35,30,5,0.857,5.85,-3,15,1,12,2,13,2,2551,2216,66.3,94.1,0.338,0.332,0.478,44.9,43.6,7.7,6.7,0.435,14.7,26.4,0.238
44,UC-Riverside,33,10,23,0.303,-10.87,-2.94,4,12,7,7,2,14,2153,2279,64.4,106.8,0.334,0.365,0.559,49.5,54,8.5,6.7,0.531,14.7,24.8,0.233
45,UC-Santa Barbara,32,22,10,0.688,-1.43,-5.36,10,6,12,3,7,6,2350,2114,66,99.3,0.313,0.36,0.513,45.2,46.8,6.6,7.8,0.482,14.7,25.5,0.215
46,University of California,31,8,23,0.258,-3.09,5.49,3,15,7,9,1,10,2121,2387,68.5,112,0.361,0.418,0.596,55.4,55.3,7.2,8.7,0.569,17.9,31.5,0.259
47,Campbell,33,20,13,0.606,-3.75,-4.52,12,4,12,4,5,7,2495,2328,68,103.3,0.341,0.414,0.556,52.2,50.9,8.3,6.9,0.522,17.6,27.1,0.25
48,Canisius,32,15,17,0.469,-8.6,-4.67,11,7,5,8,9,5,2250,2376,68.5,107.1,0.369,0.373,0.567,52.7,48.6,7.8,9.3,0.536,17.9,31.5,0.262
49,Central Arkansas,33,14,19,0.424,-11.03,-4.46,8,10,8,5,5,13,2383,2498,72,104.3,0.339,0.403,0.54,51.8,56.6,8.6,7.5,0.508,15.9,29.3,0.237
50,Central Connecticut State,31,11,20,0.355,-13.69,-6.38,5,13,5,7,5,12,2205,2367,70.4,106.7,0.367,0.445,0.555,49.9,58.5,9.5,10,0.521,16.1,29.5,0.26
51,Central Florida,31,23,8,0.742,12.48,4.64,13,5,15,2,5,5,2236,1993,67.2,95.4,0.296,0.383,0.483,48.5,54.3,8.3,8.1,0.455,15.5,29.3,0.191
52,Central Michigan,34,23,11,0.676,3.43,-0.24,10,8,13,4,7,5,2810,2590,73.3,102,0.282,0.361,0.524,50.2,41.6,6.9,12.2,0.498,16.6,32.2,0.193
53,Charleston Southern,32,17,15,0.531,-2.28,-4.31,9,7,11,4,4,10,2439,2230,71.9,96.2,0.307,0.421,0.536,49.1,55,9.4,9.5,0.507,20.4,27,0.214
54,Charlotte,29,8,21,0.276,-8.12,-0.67,5,13,5,9,3,9,1776,1992,65.8,104.3,0.326,0.423,0.549,51.7,52.6,10.5,12.8,0.513,15.8,26.1,0.242
55,Chattanooga,32,12,20,0.375,-7.49,-0.39,7,11,8,6,4,11,2268,2376,69.5,106.5,0.306,0.354,0.546,51.4,46.2,9.5,8.5,0.518,14.1,26.8,0.215
56,Chicago State,32,3,29,0.094,-24.43,1.07,0,16,3,8,0,19,1970,2710,72,117.7,0.328,0.437,0.591,55.5,55.8,10.5,7.7,0.569,14.6,33.1,0.227
57,Cincinnati,34,28,6,0.824,14.6,5.1,14,4,16,2,7,4,2438,2115,64.9,95.1,0.305,0.428,0.509,46.1,50.6,5.9,9.6,0.481,18.2,29.1,0.203
58,Citadel,30,12,18,0.4,-7.72,0.24,4,14,8,7,4,10,2553,2584,76.7,111.4,0.304,0.474,0.573,52.3,60.5,8.8,11.3,0.55,15.3,30.5,0.213
59,Clemson,33,20,13,0.606,14.85,9.61,9,9,13,4,4,6,2284,2111,67.3,95.1,0.304,0.395,0.512,47.3,44.5,8.4,8,0.475,17.5,24.5,0.222
60,Cleveland State,31,10,21,0.323,-7.88,-1.43,5,13,8,9,2,12,2300,2437,71.4,109.2,0.325,0.399,0.545,52.5,54.9,9.5,10.2,0.511,14.6,32.3,0.236
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Coastal Carolina,31,15,16,0.484,-1.17,-2,9,9,9,4,5,10,2364,2265,70.7,102.6,0.415,0.457,0.543,47.2,53.6,9.3,9.1,0.505,16.5,27.5,0.289
62,Colgate,34,24,10,0.706,1.02,-4.41,13,5,15,1,9,9,2578,2381,67.9,102.1,0.289,0.405,0.532,47,51.6,10.4,9.3,0.502,15.6,26.1,0.206
63,College of Charleston,33,24,9,0.727,2.71,-2.6,12,6,13,2,8,5,2453,2265,66.3,102.8,0.265,0.431,0.548,49.6,51.6,7.8,8.2,0.519,16.9,25.8,0.195
64,Colorado State,32,12,20,0.375,0.19,1.71,7,11,8,9,3,8,2393,2406,68.9,108.7,0.294,0.413,0.557,50.2,53.1,8.4,6.3,0.529,14.1,26.6,0.211
65,Colorado,34,22,12,0.647,10.01,3.65,10,8,13,2,5,8,2517,2301,69.4,97.2,0.314,0.374,0.516,45.2,43.1,10,9,0.487,15.7,23.5,0.211
66,Columbia,28,10,18,0.357,-5.01,-1.97,5,9,5,7,4,9,2059,2052,69.4,102,0.382,0.409,0.548,50.3,48.1,8.7,8.3,0.512,17.4,25.9,0.271
67,Connecticut,33,16,17,0.485,6.7,4.21,6,12,13,5,1,8,2436,2354,69.7,101.9,0.392,0.337,0.539,49.3,52.9,8.9,8.7,0.496,17.5,30.1,0.287
68,Coppin State,33,8,25,0.242,-18.76,-6.97,7,9,3,7,4,16,2118,2507,71.9,104.8,0.336,0.401,0.534,51.2,55.3,10.3,8.5,0.502,14.6,28.4,0.234
69,Cornell,31,15,16,0.484,-6,-1.9,7,7,9,4,6,11,2149,2211,69.6,100.8,0.266,0.339,0.522,53.3,43.3,8.8,11.4,0.494,15.5,27.3,0.187
70,Creighton,33,19,14,0.576,12.56,8.91,9,9,11,6,4,7,2590,2423,70.1,103.2,0.275,0.403,0.551,50,51.8,8.9,10.8,0.529,17,26.3,0.187
71,Dartmouth,30,11,19,0.367,-5.61,-2.86,2,12,8,6,2,12,2160,2116,68.3,102.5,0.262,0.339,0.541,49.7,45.4,9.1,8.9,0.516,14.9,23.5,0.185
72,Davidson,34,24,10,0.706,6.63,2.2,14,4,14,1,7,5,2409,2229,66.1,98.8,0.294,0.438,0.513,49.1,54.9,7.7,7.4,0.481,14.9,24.4,0.209
73,Dayton,33,21,12,0.636,9.91,3.16,13,5,13,4,7,3,2406,2183,66.2,98.8,0.238,0.405,0.505,48,51.7,8,8.1,0.479,14.6,27.1,0.167
74,Delaware State,31,6,25,0.194,-26.8,-10.11,2,14,3,9,2,15,1956,2371,72.6,105.3,0.377,0.392,0.553,53.3,58.2,9.5,11,0.517,17.2,30.7,0.27
75,Delaware,33,17,16,0.515,-7.56,-4.46,8,10,9,7,7,8,2352,2380,64.7,108.2,0.277,0.379,0.543,51.2,50.9,8.1,8.9,0.513,13.1,27.9,0.202
76,Denver,30,8,22,0.267,-11.69,-2.82,3,13,6,7,1,14,2086,2319,69.1,111.5,0.282,0.435,0.585,48.5,52.1,8.5,7.2,0.561,14.3,22.9,0.204
77,DePaul,30,15,15,0.5,6.82,5.05,7,11,12,6,3,8,2306,2253,71,105.3,0.313,0.429,0.559,45.9,52.9,9.5,8.2,0.525,15.8,24.7,0.234
78,Detroit Mercy,31,11,20,0.355,-6.25,-0.29,8,10,6,6,4,14,2279,2464,70.4,112.8,0.327,0.41,0.574,54.3,67.8,8,10.1,0.544,16.8,35.8,0.238
79,Drake,33,24,9,0.727,3.29,-0.23,12,6,13,2,7,5,2490,2307,69.4,99.2,0.292,0.361,0.513,48.6,41.7,10.3,8.9,0.483,14.8,25.6,0.204
80,Drexel,32,13,19,0.406,-6.68,-2.59,7,11,9,7,3,11,2425,2475,70,110.5,0.302,0.342,0.567,48.1,47.2,8.7,9.4,0.546,13.3,25.6,0.204
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Duke,34,29,5,0.853,28.34,12.4,14,4,15,2,7,2,2839,2297,73.7,91.3,0.24,0.347,0.475,46.1,48.7,8.8,8,0.446,17.1,29.6,0.166
82,Duquesne,32,19,13,0.594,0.72,-0.44,10,8,14,4,4,6,2351,2314,70.5,101.4,0.319,0.346,0.528,51.8,55.4,9.6,11.2,0.499,18.3,34.7,0.217
83,East Carolina,31,10,21,0.323,-5.63,1.18,3,15,8,9,1,11,2088,2299,69.9,104.8,0.418,0.371,0.547,52.1,54.3,9.4,9.7,0.51,16.9,30.9,0.292
84,East Tennessee State,33,24,9,0.727,5.99,-1.5,13,5,13,2,8,6,2613,2269,70,97.1,0.299,0.407,0.534,42.5,52.2,9.5,8.9,0.507,18.5,23.1,0.205
85,Eastern Illinois,32,14,18,0.438,-11.77,-4.96,7,11,7,6,5,10,2299,2457,69,108.7,0.333,0.406,0.559,50.8,56.6,9.8,8.9,0.531,16.2,30.3,0.235
86,Eastern Kentucky,31,13,18,0.419,-7.33,-2.4,6,12,9,5,3,11,2562,2577,79.9,101.9,0.397,0.346,0.561,52.5,51.9,8.3,9,0.525,19.8,29.8,0.285
87,Eastern Michigan,32,15,17,0.469,0.8,4.83,9,9,11,7,4,10,2203,2213,66.5,102.8,0.3,0.424,0.529,49,67.9,10,8.3,0.502,17.6,33.7,0.204
88,Eastern Washington,34,16,18,0.471,-6.81,-4.21,12,8,9,4,4,13,2460,2527,69.5,105.4,0.346,0.395,0.559,50.1,51.5,8.5,8.8,0.527,15.3,23.3,0.248
89,Elon,32,11,21,0.344,-11.12,-3.15,7,11,5,11,6,7,2266,2445,69,109.9,0.288,0.398,0.556,52,51.8,9.8,7,0.527,13.5,27.6,0.21
90,Evansville,32,11,21,0.344,-3.7,0.26,5,13,9,7,2,13,2234,2317,70.8,101.1,0.36,0.325,0.53,52.7,45.4,7.8,9.3,0.498,15.5,25.2,0.245
91,Fairfield,31,9,22,0.29,-10.11,-7.04,6,12,5,7,3,13,2072,2167,68.1,102.6,0.401,0.356,0.56,52.4,51.5,9.5,10.7,0.526,18.9,28.6,0.282
92,Fairleigh Dickinson,34,21,13,0.618,-5.66,-8.04,12,6,13,4,7,9,2571,2428,68.7,102.5,0.299,0.389,0.537,50.3,51.6,8.8,8.9,0.51,18,31.7,0.208
93,Florida A&M,31,12,19,0.387,-13.54,-8.06,9,7,6,3,6,14,1927,2057,67.1,98.6,0.402,0.372,0.525,52.1,50.1,10.2,7.6,0.484,19,32.1,0.282
94,Florida Atlantic,32,17,15,0.531,-1.02,-1.44,8,10,9,5,6,8,2256,2175,70.4,95.5,0.309,0.411,0.506,47.4,49.7,10.7,7.1,0.474,16.6,25.2,0.213
95,Florida Gulf Coast,32,14,18,0.438,-4.94,-1.31,9,7,10,4,4,10,2280,2360,71.1,103.7,0.272,0.407,0.542,51.7,56.9,9.9,9.7,0.516,17,30.4,0.191
96,Florida International,32,19,13,0.594,-3.76,-1.3,10,8,12,4,5,8,2643,2555,80.7,98.9,0.34,0.367,0.547,54.5,50.7,8.6,11.5,0.517,21.3,33.1,0.236
97,Florida State,34,27,7,0.794,18.37,10.58,13,5,15,1,6,4,2547,2282,69.2,95.6,0.361,0.388,0.515,46.7,44.2,7.8,8.3,0.473,18,26.9,0.262
98,Florida,34,19,15,0.559,15.74,11.12,9,9,9,6,5,6,2321,2164,64.8,97.2,0.337,0.38,0.517,50.4,48.8,9.4,8.9,0.484,19.4,31.7,0.232
99,Fordham,32,12,20,0.375,-4.76,-2.15,3,15,9,10,3,8,2108,2141,66.4,99.6,0.368,0.367,0.528,52.5,61.8,8.3,8.6,0.492,17.1,27.5,0.256
100,Fresno State,32,23,9,0.719,9.32,1,13,5,13,4,7,3,2448,2162,69.6,96.7,0.345,0.412,0.519,49,51.9,8.1,10.6,0.482,17.4,25.5,0.244
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Furman,32,25,7,0.781,8,-1.49,13,5,13,2,11,4,2492,2106,68.3,94.9,0.234,0.388,0.502,48.8,46.9,10.5,10.8,0.478,18,29.1,0.159
102,Gardner-Webb,34,23,11,0.676,-3.05,-5.4,11,6,13,0,8,9,2662,2397,68.7,100.5,0.277,0.453,0.518,50.5,54.3,8.2,8.1,0.486,16.4,29.8,0.199
103,George Mason,33,18,15,0.545,1.04,0.29,11,7,11,6,6,6,2314,2289,68.1,101.1,0.306,0.391,0.528,48.7,49.8,9.9,10.8,0.502,16,27.1,0.205
104,George Washington,33,9,24,0.273,-6.4,1.45,4,14,6,11,2,10,2097,2356,67.5,104.2,0.302,0.402,0.535,52.6,54.7,9.9,9.1,0.512,15,28.4,0.199
105,Georgetown,32,19,13,0.594,7.53,5.91,9,9,13,5,5,6,2557,2505,73.4,103.8,0.302,0.405,0.532,47.8,54.4,10.3,9.1,0.501,14.2,25.8,0.215
106,Georgia Southern,33,21,12,0.636,3.96,0.34,12,6,10,4,7,7,2726,2489,75.3,99.4,0.303,0.382,0.536,49.3,48.2,7.4,7.5,0.506,18.3,27.8,0.214
107,Georgia State,33,24,9,0.727,3.1,0.35,13,5,13,1,7,7,2543,2407,71.4,102.2,0.311,0.451,0.528,54.3,58.4,7,9.6,0.497,18,33.8,0.218
108,Georgia Tech,32,14,18,0.438,7.51,8.73,6,12,11,7,3,9,2091,2130,68.1,97.3,0.348,0.377,0.495,51.7,61.1,10.3,9.5,0.457,16,31.6,0.24
109,Georgia,32,11,21,0.344,5.62,8.43,2,16,8,9,2,9,2274,2364,70.4,104.9,0.299,0.358,0.516,47.9,45.3,10.7,9,0.485,13.2,31,0.21
110,Gonzaga,33,30,3,0.909,28.23,4.44,16,0,17,0,9,1,2932,2147,71.6,90.9,0.251,0.346,0.473,45.7,41.1,7.2,4.9,0.442,16.5,27.1,0.175
111,Grambling,33,17,16,0.515,-9.96,-9.59,10,8,11,3,6,11,2353,2262,71.5,95.1,0.414,0.361,0.486,49.3,51.4,9.7,8.5,0.442,15.7,28.5,0.28
112,Grand Canyon,33,20,13,0.606,4.49,-1.45,10,6,12,2,5,7,2497,2276,69.4,98.6,0.302,0.357,0.531,47.9,43.3,7.7,8.1,0.5,17.5,25.1,0.216
113,Green Bay,33,17,16,0.515,-3.31,-0.01,10,8,12,3,4,12,2653,2633,76.4,103.7,0.321,0.404,0.548,52.4,49.8,9,6.9,0.517,17.5,29.4,0.229
114,Hampton,31,15,16,0.484,-4.28,-5.35,9,7,10,3,5,11,2533,2380,72.8,103,0.353,0.397,0.533,49.8,52.9,6.4,8.8,0.496,15,27.3,0.252
115,Hartford,33,18,15,0.545,-3.68,-4.62,10,6,10,4,8,9,2477,2407,68,105.3,0.301,0.399,0.551,52.6,50.4,8.5,11.3,0.52,17,30.8,0.219
116,Harvard,29,18,11,0.621,1.38,0.17,10,4,9,2,7,8,2074,2028,68.5,100,0.337,0.381,0.537,46.8,49.4,10.8,8.7,0.503,16.2,22.8,0.239
117,Hawaii,31,18,13,0.581,-1.06,-3.37,9,7,12,5,4,5,2241,2131,67.6,100.9,0.325,0.346,0.534,48.9,45.5,8.4,7.1,0.507,15.7,24.3,0.22
118,High Point,31,16,15,0.516,-5.77,-4.53,9,7,9,4,5,8,2115,2105,65.5,102.5,0.289,0.47,0.528,45,52.3,8.5,10.6,0.499,14.5,24.9,0.202
119,Hofstra,35,27,8,0.771,5.04,-4.16,15,3,15,1,10,5,2919,2553,68.3,103.9,0.252,0.37,0.54,49.7,53.6,6.6,7.3,0.516,16,29.2,0.176
